epoch,train_loss,train_acc,val_loss,val_acc
1,1.8030830676269531,0.3158,1.545824554824829,0.4209
2,1.4891533724212647,0.45452,1.3061029439926148,0.5244
3,1.2960086104583741,0.53582,1.312401706314087,0.5248
4,1.1711452842521668,0.58248,1.1247344892501832,0.6007
5,1.0879627811050414,0.61272,1.078092054748535,0.6162
6,1.0353317780685425,0.63086,1.0163932922363281,0.6373
7,0.9873546600532531,0.651,1.0225841939926148,0.6347
8,0.9487498541259766,0.66508,0.9554979239463807,0.6611
9,0.9171801992416382,0.67622,0.955327252960205,0.6674
10,0.8821668122673034,0.68696,0.9587354928016663,0.6602
11,0.8509724192428589,0.70162,0.8898825426101684,0.6899
12,0.8432829463195801,0.70456,0.8833252145767212,0.6825
13,0.8164154416084289,0.71338,0.8814849885940552,0.6971
14,0.7994122571182251,0.7201,0.8940819417953492,0.686
15,0.787350234375,0.72062,0.8080121477127076,0.7183
16,0.7629481304550171,0.73172,0.8810389797210694,0.6927
17,0.752410938243866,0.73624,0.8264295719146728,0.7103
18,0.7435689141845703,0.73894,0.8427306085586548,0.7089
19,0.7244596858406067,0.74464,0.865327557182312,0.7092
20,0.7162187796401978,0.7498,0.8597075009346008,0.708
21,0.7101043693923951,0.75048,0.8508973718643188,0.7135
22,0.6988100428199768,0.75466,0.8719840851783752,0.707
23,0.684255662689209,0.75986,0.7861346702575683,0.7234
24,0.6794623119354248,0.76084,0.8358703939437866,0.7042
25,0.6661831986618042,0.7676,0.8019041695594787,0.724
26,0.6643290180969238,0.76654,0.822530959892273,0.717
27,0.6562670890808106,0.77062,0.7878745998382568,0.7326
28,0.6383505560684204,0.7774,0.7774950446128845,0.7425
29,0.633171253490448,0.7762,0.8107095391273499,0.7338
30,0.6269171455001831,0.78264,0.8450210084915161,0.721
31,0.6207299117660523,0.7826,0.8297424402236938,0.7254
32,0.6207968970870972,0.78426,0.8273871299743653,0.7256
33,0.6234896818351746,0.7815,0.7828439949035645,0.7315
34,0.6089196584320068,0.78642,0.8093471799850463,0.7346
35,0.6077012409591674,0.78892,0.779978579902649,0.737
36,0.5974006821250916,0.79,0.7681135220527648,0.743
